Subject,Task,Body Shape,Peak,InitialPeak,MomentPeak,kneeMrange,SecondPeak
8,OCHB,Normal BMI,21.230927222222224,13.529765222222222,1.1776093333333333,1.426329,-0.004255444444444442
8,OCMA,Normal BMI,20.428829222222223,8.394707666666667,0.9478882222222222,1.0197425555555555,0.04584766666666667
8,OCMB,Normal BMI,21.682854555555554,13.075716222222221,1.1928103333333333,1.420211,-0.08135544444444445
8,PRF,Normal BMI,21.770428,12.99302825,1.0645704999999999,1.37204275,0.2018425
9,FF,Normal BMI,28.216284,12.591665299999999,0.7873143,1.1979025,0.05184219999999999
9,OCHA,Normal BMI,19.83652216666667,5.672422166666667,0.24613483333333333,0.6234096666666666,-0.021524166666666667
9,OCHB,Normal BMI,22.0575913,9.7103736,0.5355279000000001,0.8837662,-0.09716319999999999
9,OCMA,Normal BMI,19.9609531,9.1301987,0.3433898,0.7666009,-0.0195142
9,OCMB,Normal BMI,20.7918808,8.5620992,0.45920310000000003,0.7825755,-0.0601009
9,PRF,Normal BMI,21.7389563,10.2848798,0.35824540000000005,0.6349028999999999,0.028951900000000003
10,FF,Normal BMI,22.5481586,18.3601138,0.9706186000000001,1.5132474,0.2154054
10,OCHA,Normal BMI,19.2757492,10.296033900000001,0.8862868,1.3227199,0.11228389999999999
10,OCHB,Normal BMI,16.28195711111111,15.008301222222222,0.7544181111111111,1.0511236666666666,-0.18377044444444446
10,OCMA,Normal BMI,18.4462407,10.794824299999998,0.8477989000000001,1.299506,0.08976619999999999
10,OCMB,Normal BMI,15.0292058,15.0302168,0.7167149,0.9709812,-0.1835335
10,PRF,Normal BMI,16.042598666666667,15.166716,0.678833888888889,0.9120227777777777,0.10462522222222222
11,FF,Normal BMI,22.392315625000002,17.002148,1.245252375,1.5051554999999999,0.545966375
11,OCHA,Normal BMI,18.797694222222223,5.054503222222222,0.8063764444444445,0.8715682222222222,0.43815888888888893
11,OCHB,Normal BMI,19.056694099999998,15.4504287,0.7743104,0.9040098000000001,0.22591680000000003
11,OCMA,Normal BMI,17.611163333333334,5.993809833333334,0.7612813333333334,0.8776531666666667,0.46228566666666665
11,OCMB,Normal BMI,20.055625111111112,13.631036,0.8842827777777778,1.0403975555555556,0.2277528888888889
11,PRF,Normal BMI,16.817679899999998,13.323748599999998,0.6911015,0.8298981,0.43967609999999996
13,FF,Normal BMI,28.819194,11.0399955,1.27985275,1.496237875,0.510608125
